,job_title,job_link,company,location,date_posted
32,Generator Hire Controller/ Administrator,https://uk.indeed.com/company/Align-People-HR/jobs/Controller-3cd6a6f6e840c2dd?fccid=e896eb23d931cf6a&vjs=3,Genny Hire Ltd,Kintore, 1 day ago
33,Senior Piping Designer,https://uk.indeed.com/company/KCA-DEUTAG/jobs/Piping-Designer-3ba23849aacd6296?fccid=85c72e2672aaaa4e&vjs=3,KCA Deutag,Hybrid remote in Portlethen,Today
34,Baker,https://uk.indeed.com/company/SugarValley-Ltd/jobs/Baker-a3fb773e30099507?fccid=7efa3820e03dae61&vjs=3,SugarValley Ltd,Longside, 1 day ago
35,Waste Loader - Mintlaw,https://uk.indeed.com/viewjob?jk=e29dd6a76ff40c2d&fccid=1036e3cab4417cbf&vjs=3,Blue Arrow,Mintlaw AB42+1 location,Today
36,Permanent Full Time Care Assistant,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0AIEEGifhux-dDiJzASgGD6UZuafd0lEfUU5a3uSQvlYlg9BLa6mTkKpRTV-cEtVzLAsrbBuG4tTntezNU_NhBvdVwo-HBrXPmRQferoq6Xz9YJmqWIEZU1g2kqaBswHO07a3ZlvJUnCl9LDpmmOzYIEuxRqHafRqEIFDi_x6Jj7e5nZ3fSlKHvvc6Lqnx4RcnRLcOWUpido_yHyMeCGYq_3X-KiGHFjrsyb7VelDT7oy5rNqIos9jl1EeeRNfErTHmtmMzaVClglYNULGclOn6-AxMh_gVWLc_5Mi9Pngmf3z8IGLhTFJ2Qb9MtXY0UNjgSg0SigMlThk3ojSVbk0gD9zlyJxul0efQdXEHd4U0Fe2S9yhrX2jGQKKWNHZT8mfJzyTrDhHaaNQPSi2VnOYva3eWEC_6t8d68mbHF5BBMy2xz2jpr_omn091KmXjNGTwuxApdWSEUUx74xLY-C61_dEnqG2Lvk00k6tuZ55uJYSfq3kayqYbobwZedOMGu1OB3KTSW_rIwLN7uS7_EY&xkcb=SoCk-_M3MPZzXiSS5Z0NbzkdCdPP&p=6&fvj=1&vjs=3,Trust-Care,Balmedie,Hiring ongoing
37,Sales Assistant,https://uk.indeed.com/viewjob?jk=28bac91742ae14bc&fccid=e6d10f9c77816214&vjs=3,WHSmith,Blackburn AB21,Today
38,QC Inspector (Kintore),https://uk.indeed.com/viewjob?jk=1aab46c6bdb95f65&fccid=0059806ce5dabd16&vjs=3,NOV Inc.,Inverurie AB51, 1 day ago
39,Quality Inspector,https://uk.indeed.com/company/Northern-Employment-Services-Ltd/jobs/Quality-Assurance-Inspector-09e8588343ff66ce?fccid=18c301d465091aeb&vjs=3,Northern Employment Services Ltd,Inverurie,Today
40,Community Support Worker,https://uk.indeed.com/company/Specialist-Resource-Solutions-(SRS)/jobs/Support-Worker-447b453ff704bc25?fccid=cf46ef8ed756c363&vjs=3,Specialist Resource Solutions (SRS),Turriff and District,Today
41,Housekeeping Assistant - Bayview Care Home,https://uk.indeed.com/viewjob?jk=193e02f68e19982b&fccid=66f12c8a140e36e8&vjs=3,Meallmore,Port Erroll AB42,Today
42,Internal Sales Person,https://uk.indeed.com/viewjob?jk=ac5b114a111a4fe7&fccid=03d6394b1404eb71&vjs=3,Tessenderlo Group,Inverurie AB51, 1 day ago
43,KFC Kitchen Team Member - Full Time,https://uk.indeed.com/viewjob?jk=1c7958ca17062458&fccid=f25e5beb5d00cf5a&vjs=3,KFC Peterhead - Invernette Roundabout,Peterhead AB42,Just posted
44,"3 x Cleaning Operative, Glenbervie, Stonehaven AB39 3YG",https://uk.indeed.com/company/Spotless-Commercial-Cleaning/jobs/Cleaner-dcadf100d158c978?fccid=716ecc5c0ca0feb0&vjs=3,Spotless Commercial Cleaning Ltd,Stonehaven AB39,Today
45,Internal Sales Person,https://uk.indeed.com/viewjob?jk=ac5b114a111a4fe7&fccid=03d6394b1404eb71&vjs=3,Tessenderlo Group,Inverurie AB51, 1 day ago
46,Painter,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0ALT1YIHaWT1PoXReM-dM6uTYlNRc3Q-Exg3H1UMeqQyIdgo3PdX-oiP6sk3p-wPeQIhTdqmj0opEMfCgDdhIi_-MZUrCMvgAwZzKoL3EaCfbgD8VHOkerergUdE6zVcS40IW21oBvllhMQNRJoV77WzeowlJcxQhGxcGROuctJFxC286sc6-AYQtgLGHXBUG-DldGRKWtkSRXqd4bdKPQpG2Q-Og0l4pxkF4SargTc8x1BQQyZAGYH-4e9UooXi6EjtQLbrBOp9dEM2LwugMilOKeJwWNZ9qJSlFGyP46w5zFvu1GawFPNgSqAOIy0qErmqPjsxhQWKNdjkRMUZmWUMA0OQftjSKKxqZuue-Fz-tMrPGPW0DS5sokQqeVoyk52uursPNN4Z4I4nTgHwnqRPv7pnTHVABFiD-kdcMSkltZWxIbXSZbmP_UIj9xDYG7rkpCpX5HB6zvuN0q6M4lnzVvqEv-ees0Zd_K6mXxSPIPseO2raX13cfmRFKAoaPBZ-A7fgiSnnm-4geGCDTedH3lnsl3n3-2afLfKYDenUxiv-IbAT7J0&xkcb=SoDA-_M3MPZzEqRr6J0KbzkdCdPP&p=1&fvj=0&vjs=3,Hays Recruitment,Aberdeenshire, 1 day ago
47,KFC Weekends Only Team Member,https://uk.indeed.com/viewjob?jk=a9ff73591449dc39&fccid=f25e5beb5d00cf5a&vjs=3,KFC Peterhead - Invernette Roundabout,Peterhead AB42,Just posted
