,job_title,job_link,company,location,date_posted
20,"Barista - Edinburgh, Castle Street - Full Time",https://uk.indeed.com/viewjob?jk=7fe4488133803e9c&fccid=1e3ae53cfff1295b&vjs=3,Pret A Manger,Edinburgh,Today
21,Head Baker,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CtwOkgDuej6vPfWODMxjOIyNEohQmdYMppGq8y8dOpBl44qskDINyjnc-takoOG9hpJcmjHG4O2N5VXYr5tw565XrngS0W49LBGocl2rrvRGdLB6-_pKjZR1XMaXlioMDm-NwIRZwknpGxPN__egpr-x9pR-5hbwkB5Rk4GgqBpv5I57Ma-LPNpbEP1JYlFRagd_mKV-IDVSZqub7XT4uTZlbZmMFCXG_l1WF68khxwsM2aEPPfpGKaSdZsm_rMhZTAiS-PQRRwG3vVoj14izQpvU782Owy_hZWbH2_8dTk638DWEOWh-in-6UulZSvNjdJw_orlt1TOEqqVVMqDS7gyzopzYRGbW5KnKJFqdVD5hh2mkuo8wUoJpfGK4v7MS-AbFJ2bJY5tqfssUHwWaniiq33mW71tCF6vIve9zwirZ3RHQnzEn7ak3vlnOXht8WYCfxILTwVlUYMrC6vyzWavhTBxHhr3mnC6tQQ7e8B1tUMS81P8N11L471mqmSlI=&xkcb=SoB6-_M3MPeO4qR_hR0NbzkdCdPP&p=6&fvj=1&vjs=3,The Kilted Donut Ltd,Edinburgh EH5,Just posted
22,Restaurant Support OxEd,https://uk.indeed.com/viewjob?jk=8f0f71e59f4a34f3&fccid=fa12a8b3011829cc&vjs=3,The Alchemist,Edinburgh EH1,Just posted
23,Reception Supervisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0CirIH0niWJ3kY_9rs_C7fJIr6QC6Bezj3jZLfWZZnh88hNcc1JZeKOklBO8MeMmuhF2ZyJ7a4M50Y6jyhgw3I3iq7TP7iEEj0PQSUHdhj9izzOowgGP35ZTbLVWQxJ6s6-JwofrEZHUTnPlUDfVJeXTO3KnAGBC5Tzp4xaGTJPRq-a3KIRNW0kqgKqzZiHg3R-IkBvuD-FOk2AUBfrlZb6dMMZIYTYDlpVh5MgEnQQd9THXsEqSBzH8rEdKFnBNxjt4Vl9iSEXoUYPf8rslmMWcZYjLDxqwP1Cnsdqkklb17ey82gzA2Iciel3EudWMDVHGbR_Sq2c8-2dT-m9PJ37jdpvP9Rr3uiWZ2QMltxcbW58Sr_eVXYKAt1pvo4-ej5pP_ElencNbZdRw1rflfckXfYKFhzlOUtd2uIwFXl3FXonEu_DHHNiFgse99aWq5OI-jcjVI2b7ulLYJxlwNyZTKCAVgUANKjYS_V_sTjRYMM7nhGL-NIrJXgkOr7467j6qV9skLsU-xjnZy0DNBnlMPscS-rwSdtPIxqgtGCxL6mpPBpmBQ4A5RnuhSv9TjS3n_b6w_72kcQyRmiAPlz_9IN-0ZoQD061PizIi7pj34vBXAPhfQdtfWOI6j6jWib-RVgo2jModBcidxU0FcGXpCPInShdDSn1OsKnGagaWfgvA-DImQZuAaQAAFKNq-nDw9MmKqlNVy-d1uApaEZH-ZlTe_o1fug=&xkcb=SoAn-_M3MPeO4qR_hR0DbzkdCdPP&p=8&fvj=0&vjs=3,YOTEL Edinburgh,Edinburgh, 1 day ago
24,Delivery Driver,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0B07EDwL2GG-U7_tSRusyAfb_60ImjKFyOKlgN6vO_Fjd0esNXjLxvrbLI2qkIj77-Y45kyYVAXFWuchl9DcmDBZl81VtcF2igDYCPEvcto9aLDjf_wm01Nf0W5vFOAAdPkagQUaOEFwxktZzvKP6uij08kwTANJH2IYfSxZ3bPf2mqBn1orggqga-EgzMI3ZsZKL3WhZ4aZPDt_GXgxo4YvXkTDJY5VHBcwwMyfk-EMSFfy-fshNVZpaZ0k4XNwbLkZG6Lcfsy3VSdk5CET3dT0Ya6peOeEo7t1tq3vw9JoyNl25KvDrW5QDC3quk46YEI8pmvk4ypBvI545kgGFVM0aOPX8Ejf-j3rEMBMJZ62B6fhNzSxdUsLenkq1EAN4dHPloIrntRx0pWZnCjtQpLDYqUjSrolagw1MoF3-Ds5SXrnsAMycYbgYD19_2EMD63FRvbVgXGIVTmz-kEoM1Gs6Au1I5sFQ7GM-a5ZZD78ii_lM7eV3mbcNVPe9u2XvfemDQH64UN2w==&xkcb=SoCT-_M3MPeO4qR_hR0CbzkdCdPP&p=9&fvj=1&vjs=3,Papa John's Pizza,Edinburgh EH11,Today
25,Customer Service Assistant- Part time- Edinburgh Zoo,https://uk.indeed.com/viewjob?jk=88f47984b2010b50&fccid=c55f4ad42cee2cd3&vjs=3,Compass Group,Edinburgh EH12,Today
26,Trainee Parts Advisor,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0C7szClL8eG-oKr6ZienVubBz8qhrPaK-oCVQYR0sBQbjU_DBfvI0hN2W9TlrW82_qmcCyiBWpmisDYiNY6kKP9GGmU7NYSgiYJ9KuIOcxGlP-YJ8SZYMcPELOywBr99LveyzISoe1iIhOy65xNzJDz_brtivLwMyA-CqX9YqYjo-3Kthnb1VXEcvY0s4Jz_ANRC_dnykp1L164dac3Pn_ORnzFcLx7nEo_mpSP1AoLhn3Kcw00uaC6HgjsYkO4foX3wJcUnqoh_AeMT556SoYlM82NQVUZpHUVYppi1OPvhgHQbfeUlIzKrmIRitFncPeuGnmf3wCnESAxu89ygTiOPEZFAUnD5iX4AiaZDDnebEJ6FJ0tOadVTtBiMHFsJtyg2JFURqzD2xTEVsK1RgYAUSPXyOeGYj48psjqCipza8fVdGuBiuvScp4Mh4QDvu9S1mo3ILOk4WHHOzxKS3LOxgwj_HKVcB2R5c4VXTA37b_jdDOXiaYHxrrroyq5Ws4=&xkcb=SoC6-_M3MPeO4qR_hR0AbzkdCdPP&p=11&fvj=0&vjs=3,John Clark Motor Group,Edinburgh, 1 day ago
27,"Recognition and Events Lead, People Experience",https://uk.indeed.com/viewjob?jk=47e6e4c82a7ca921&fccid=c46d0116f6e69eae&vjs=3,JPMorgan Chase & Co,Edinburgh EH12,Today
28,Property Inspector PSL,https://uk.indeed.com/company/Curb-PSL/jobs/Inspector-09053979c7dfca20?fccid=dd616958bd9ddc12&vjs=3,Curb PSL,Hybrid remote in Edinburgh,Today
29,Regional Brand Ambassador,https://uk.indeed.com/viewjob?mo=r&ad=-6NYlbfkN0DfmrnzL5aDKhHyyA4ozblFG1tFpgCt6DQm1iaGECt55c3WzAjQCTyIcuTO2ws5ckLn_eLgxfUcygP0EqI8QPuyOkGO_YC0HUB9_UZThUFWNhDvxwFUAHz9XkMR2ctgt2Nhdes7Yq7uXkqThyMc9BG6XnBt_AQE0D8b57nCilyI6Gr0I_dikY3kGevB6c9DLkVL-FgD3vxTa1nS_aH-CrXohYa0pzzPJecWCSdp-XkQidBKXwOjC7p1OR1FluUVxYcWX9O5RT62vkNBn_jo4vTKZhi_Nn6ZDmF4Wp3M3LxnunP3cnWJNma7EgAUpXhJ7crLjkB5_vWfnIGF8pZvnwDxnpFxwpOlmZkGgCVj-CvCV28eZhcqX_-z8DBDYTXmrQgS8_N9nnTXm3_09DMWDrIOBb3VOJSuUtKe4QA5_MdEfepYKLGDF8aty1u8bp23gq_fzlbRJ0MkYL3kOSZGm-kKOnc3brmzQnivAEFxbjljz40GDgijsY8JEk_v6CfTu-95nknFIDMR9IY-uNSa5NT3&xkcb=SoAd-_M3MPeO4qR_hR0FbzkdCdPP&p=14&fvj=1&vjs=3,Ignite Field Marketing,Edinburgh,Hiring ongoing
