posted,job title,company working,location working,salary,link
24h,Room Leader,Kindred Nurseries4.1,"Salisbury, England",£11.00 - £12.00,"https://www.glassdoor.co.uk/job-listing/room-leader-kindred-nurseries-JV_IC3296998_KO0,11_KE12,29.htm?jl=1009025483606"
24h,Car Mechanic,One stop mot service centre,"Aylesbury, England",£11.00 - £12.00,"https://www.glassdoor.co.uk/job-listing/car-mechanic-one-stop-mot-service-centre-JV_IC2681369_KO0,12_KE13,40.htm?jl=1009026152482"
24h,Care Assistant,Caremark Warwick3.7,"Kenilworth, England",£11.00 - £16.50,"https://www.glassdoor.co.uk/job-listing/care-assistant-caremark-warwick-JV_IC3319483_KO0,14_KE15,31.htm?jl=1009025778956"
24h,Head Chef,Undisclosed,"Truro, England",£30K - £33K,"https://www.glassdoor.co.uk/job-listing/head-chef-undisclosed-JV_IC3377533_KO0,9_KE10,21.htm?jl=1009026440018"
24h,Salaried GP,Akerman Medical Practice,"London, England",£42K - £88K,"https://www.glassdoor.co.uk/job-listing/salaried-gp-akerman-medical-practice-JV_IC2671300_KO0,11_KE12,36.htm?jl=1009026391883"
24h,Trainee Drainage Engineers,Trent’s Drains,"Bristol, England",£21K - £27K,"https://www.glassdoor.co.uk/job-listing/trainee-drainage-engineers-trent-s-drains-JV_IC3280589_KO0,26_KE27,41.htm?jl=1009026199086"
24h,Customer Complaints Assistant,Quick Car Finance,"Bournemouth, England",£25K,"https://www.glassdoor.co.uk/job-listing/customer-complaints-assistant-quick-car-finance-JV_IC3313555_KO0,29_KE30,47.htm?jl=1009026390747"
24h,Room leader for baby room,My and Me,"London, England",£27K,"https://www.glassdoor.co.uk/job-listing/room-leader-for-baby-room-my-and-me-JV_IC2671300_KO0,25_KE26,35.htm?jl=1009025993139"
24h,Fundraising and Development Team Lead (Female),The Nelson Trust4.6,"Gloucester, England",£35K,"https://www.glassdoor.co.uk/job-listing/fundraising-and-development-team-lead-female-the-nelson-trust-JV_IC3379755_KO0,44_KE45,61.htm?jl=1009025618251"
24h,Restaurant and Bar General Manager,Undisclosed,"Truro, England",£29K - £32K,"https://www.glassdoor.co.uk/job-listing/restaurant-and-bar-general-manager-undisclosed-JV_IC3377533_KO0,34_KE35,46.htm?jl=1009026298076"
