posted,job title,company working,location working,salary,link
2023-12-12T11:48:54.937,Lead Practitioner,Aspris Children’s Services Limited,Ayrshire,"From £24,500 to £28,000 per annum",https://www.totaljobs.com/job/practitioner/aspris-children-s-services-limited-job101692770
2023-12-12T17:30:11.153,Complex Needs Practitioner Level 2,The Richmond Fellowship Scotland,"Ladywell, EH54 6UF",11.00 to 11.99 (per hour),https://www.totaljobs.com/job/practitioner/the-richmond-fellowship-scotland-job101696322
2023-12-12T17:05:51.237,"ELC Practitioner, Parkhead Primary School Nursery Class, 475.18",West Lothian Council,"Harburn, EH55 8AH","£28,437 - £30,351 per year",https://www.totaljobs.com/job/practitioner/west-lothian-council-job101696064
2023-12-12T02:01:44.99,Life Practitioner,Kisimul Group Limited,"Heapham Road Industrial Estate, DN21",£11.22 - £12.80 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101665064
2023-12-12T02:08:48.91,Night Life Practitioner,Kisimul Group Limited,"Glinton, PE6",£11.59-£12.62 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101663477
2023-12-12T02:12:56.88,Continuous Improvement Practitioner,Defence,Dorset,Negotiable,https://www.totaljobs.com/job/practitioner/defence-job101670137
2023-12-12T10:52:10.903,Bank Practitioner,Aspris Children’s Services Limited,"WF15, Liversedge",From £11.17 to £11.57 per hour,https://www.totaljobs.com/job/practitioner/aspris-children-s-services-limited-job101692339
2023-12-12T02:12:05.333,Practitioner - Early Learning & Childcare - Bell's Brae Primary School,Shetland Islands Council,"ZE1, Shetland, ZE1 0QJ",Unspecified,https://www.totaljobs.com/job/practitioner/shetland-islands-council-job101676964
2023-12-12T02:01:14.187,"ELC Practitioner, Kirkhill Primary School, 475.10",West Lothian Council,"EH52, Broxburn, EH52 6AW","£28,437 - £30,351 per year pro rata",https://www.totaljobs.com/job/practitioner/west-lothian-council-job101676928
2023-12-12T02:09:08.81,Life Practitioner,Kisimul Group Limited,"Old Clipstone, NG21",£11.22,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101650126
2023-12-12T02:06:40.34,Part-time Trainer/Auditor - Practitioner,Capita,"Coombe Enford, SN9",£40k - 45k per year + pro rata,https://www.totaljobs.com/job/practitioner/capita-job101669076
2023-12-12T02:06:19.18,Lead Practitioner,Aspris Children’s Services Limited,"KA25, Kilbirnie","From £24,500 to £28,000 per annum",https://www.totaljobs.com/job/practitioner/aspris-children-s-services-limited-job101657472
2023-12-12T02:04:14.45,CI Practitioner,Elevation Recruitment Limited,"Templeborough, S60 1BX",£35k - 38k per year,https://www.totaljobs.com/job/practitioner/elevation-recruitment-limited-job101661921
2023-12-12T02:09:50.153,PBS Practitioner,Look Ahead Care and Support,"Willian, SG6 2TP",Up to £27112 per annum + 25 days Annual Leave,https://www.totaljobs.com/job/practitioner/look-ahead-care-and-support-job101657449
2023-12-12T02:01:13.42,Therapeutic Practitioner,Aspris Children’s Services Limited,"ST4, Stoke-On-Trent","From £26,520 to £30,615 per annum Dependent on experience",https://www.totaljobs.com/job/practitioner/aspris-children-s-services-limited-job101657926
2023-12-12T02:08:55.453,Children and Families Practitioner,Midlothian Council,"EH22, Dalkeith, EH22 1AG","£36,311 - £39,466 per year",https://www.totaljobs.com/job/practitioner/midlothian-council-job101658813
2023-12-12T02:05:36.67,Lead Practitioner,Aspris Children’s Services Limited,"KA11, Irvine","From £24,500 to £28,000 per annum",https://www.totaljobs.com/job/practitioner/aspris-children-s-services-limited-job101657488
2023-12-12T02:01:05.153,Life Practitioner,Kisimul Group Limited,"East Markham, NG22",£11.22 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101650689
2023-12-12T02:11:17.657,Life Practitioner,Kisimul Group Limited,"Glinton, PE6",£11.22-£12.80 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101635485
2023-12-12T02:12:07.747,Life Practitioner,Kisimul Group Limited,"Thorney, PE6",£11.22-£12.80 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101635465
2023-12-12T02:07:09.89,Life Practitioner,Kisimul Group Limited,"Heckington, NG34",£11.22 - £12.80 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101676608
2023-12-12T02:12:25.13,Life Practitioner - Night shift,Kisimul Group Limited,"Greetwell, LN3",£11.59 - £12.62 per hour,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101662880
2023-12-12T02:04:02.873,SEND Nursey Practitioner,Kids Planet Day Nurseries Limited,"WA13, Lymm",From £10.72 to £10.82 per hour,https://www.totaljobs.com/job/practitioner/kids-planet-day-nurseries-limited-job101116067
2023-12-12T02:10:35.85,Domestic Abuse Practitioner (Moving on support),Net-Worx (2001) Limited,"Abbotsville, ST13 6HQ","£13,933 per annum",https://www.totaljobs.com/job/practitioner/net-worx-2001-limited-job101637244
2023-12-12T02:12:57.303,Life Practitioner,Kisimul Group Limited,"Farcet, PE7",23337.60,https://www.totaljobs.com/job/practitioner/kisimul-group-limited-job101657211
2023-12-12T02:11:35.12,Practitioner - Early Learning & Childcare - Dunrossness Primary School,Shetland Islands Council,"ZE2, Shetland, ZE2 9JG",Unspecified,https://www.totaljobs.com/job/practitioner/shetland-islands-council-job101642101
