locations,links,details,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Brent,https://www.reed.co.uk/jobs/jobs-in-Brent?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Bromley,https://www.reed.co.uk/jobs/jobs-in-Bromley?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Camden,https://www.reed.co.uk/jobs/jobs-in-Camden?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
City of London,https://www.reed.co.uk/jobs/jobs-in-City-of-London?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Croydon,https://www.reed.co.uk/jobs/jobs-in-Croydon?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Ealing,https://www.reed.co.uk/jobs/jobs-in-Ealing?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Enfield,https://www.reed.co.uk/jobs/jobs-in-Enfield?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Epping Forest,https://www.reed.co.uk/jobs/jobs-in-Epping-Forest?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Greenwich,https://www.reed.co.uk/jobs/jobs-in-Greenwich?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Hackney,https://www.reed.co.uk/jobs/jobs-in-Hackney?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Hammersmith,https://www.reed.co.uk/jobs/jobs-in-Hammersmith?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Haringey,https://www.reed.co.uk/jobs/jobs-in-Haringey?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Harrow,https://www.reed.co.uk/jobs/jobs-in-Harrow?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Hounslow,https://www.reed.co.uk/jobs/jobs-in-Hounslow?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Islington,https://www.reed.co.uk/jobs/jobs-in-Islington?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Kensington,https://www.reed.co.uk/jobs/jobs-in-Kensington?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Chelsea,https://www.reed.co.uk/jobs/jobs-in-Chelsea?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Kingston upon Thames,https://www.reed.co.uk/jobs/jobs-in-Kingston-upon-Thames?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
Lambeth,https://www.reed.co.uk/jobs/jobs-in-Lambeth?direct=true&dateCreatedOffSet=today,unprocessed,,,,,
